Sample in Buffer,Sample in Window,TRIGGER,LVDS_DATA_0_DBG,LVDS_DATA_1_DBG,LVDS_DATA_2_DBG,LVDS_DATA_3_DBG
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
737,737,0,0,0,1,0
738,738,0,0,0,1,0
739,739,0,0,0,0,0
740,740,0,0,0,1,1
741,741,0,0,0,0,0
742,742,0,0,0,1,1
743,743,0,0,0,1,1
744,744,0,0,0,0,0
745,745,0,0,0,1,1
746,746,0,0,0,0,0
747,747,0,0,0,1,1
748,748,0,0,0,0,1
749,749,0,0,0,0,0
750,750,0,0,0,1,1
751,751,0,0,1,0,0
752,752,0,0,0,1,1
753,753,0,0,0,0,0
754,754,0,0,0,0,0
755,755,0,0,0,1,1
756,756,0,0,0,0,0
757,757,0,0,0,1,1
758,758,0,0,0,0,0
759,759,0,0,0,0,0
760,760,0,0,0,1,1
761,761,0,0,0,0,0
762,762,0,0,0,1,1
763,763,0,0,0,0,0
764,764,0,0,0,1,1
765,765,0,0,0,1,0
766,766,0,0,0,0,0
767,767,0,0,0,1,1
768,768,0,0,0,0,0
769,769,0,0,0,1,1
770,770,0,0,0,0,0
771,771,0,0,0,1,0
772,772,0,0,0,1,1
773,773,0,0,0,0,0
774,774,0,0,0,1,1
775,775,0,0,0,0,0
776,776,0,0,0,1,0
777,777,0,0,0,1,1
778,778,0,0,0,1,0
779,779,0,0,0,1,1
780,780,0,0,0,0,0
781,781,0,0,0,1,0
782,782,0,0,0,1,1
783,783,0,0,0,1,0
784,784,0,0,0,1,1
785,785,0,0,0,0,0
786,786,0,0,0,1,1
787,787,0,0,0,0,1
788,788,0,0,0,1,0
789,789,0,0,0,0,1
790,790,0,0,0,0,0
791,791,0,0,0,1,1
792,792,0,0,0,0,0
793,793,0,0,0,1,0
794,794,0,0,0,0,1
795,795,0,0,0,0,0
796,796,0,0,0,1,1
797,797,0,0,0,0,0
798,798,0,0,0,1,0
799,799,0,0,0,0,0
800,800,0,0,0,0,1
801,801,0,0,0,1,0
802,802,0,0,0,0,0
803,803,0,0,0,1,0
804,804,0,0,0,0,0
805,805,0,0,0,1,1
806,806,0,0,0,1,0
807,807,0,0,0,0,0
808,808,0,0,0,1,1
809,809,0,0,0,0,0
810,810,0,0,0,1,1
811,811,0,0,0,1,0
812,812,0,0,0,0,0
813,813,0,0,0,1,0
814,814,0,0,0,0,0
815,815,0,0,0,1,1
816,816,0,0,0,0,0
817,817,0,0,0,1,0
818,818,0,0,0,1,0
819,819,0,0,0,0,0
820,820,0,0,0,1,1
821,821,0,0,0,0,0
822,822,0,0,0,1,0
823,823,0,0,0,1,0
824,824,0,0,0,0,0
825,825,0,0,0,1,1
826,826,0,0,0,0,0
827,827,0,0,0,1,1
828,828,0,0,0,0,0
829,829,0,0,0,1,1
830,830,0,0,0,1,1
831,831,0,0,0,0,0
832,832,0,0,0,1,1
833,833,0,0,1,0,0
834,834,0,0,0,1,1
835,835,0,0,0,0,1
836,836,0,0,0,0,0
837,837,0,0,0,1,1
838,838,0,0,0,0,0
839,839,0,0,0,1,1
840,840,0,0,0,0,0
841,841,0,0,0,0,0
842,842,0,0,0,1,1
843,843,0,0,0,0,0
844,844,0,0,0,1,1
845,845,0,0,0,0,0
846,846,0,0,0,1,0
847,847,0,0,0,1,1
848,848,0,0,0,0,0
849,849,0,0,0,1,1
850,850,0,0,0,0,0
851,851,0,0,0,1,1
852,852,0,0,0,1,1
853,853,0,0,0,0,0
854,854,0,0,0,1,1
855,855,0,0,0,0,0
856,856,0,0,0,1,1
857,857,0,0,0,0,1
858,858,0,0,0,1,0
859,859,0,0,0,1,0
860,860,0,0,0,0,0
861,861,0,0,0,1,1
862,862,0,0,0,0,1
863,863,0,0,0,1,0
864,864,0,0,0,1,0
865,865,0,0,0,0,0
866,866,0,0,0,1,1
867,867,0,0,0,0,1
868,868,0,0,0,1,0
869,869,0,0,0,0,0
870,870,0,0,0,1,1
871,871,0,0,0,1,1
872,872,0,0,0,0,1
873,873,0,0,0,1,1
874,874,0,0,0,0,0
875,875,0,0,0,1,1
876,876,0,0,0,0,1
877,877,0,0,0,0,1
878,878,0,0,0,1,1
879,879,0,0,0,0,0
880,880,0,0,0,1,1
881,881,0,0,0,0,0
882,882,0,0,0,0,1
883,883,0,0,0,1,1
884,884,0,0,0,0,0
885,885,0,0,0,1,1
886,886,0,0,0,0,0
887,887,0,0,0,1,1
888,888,0,0,0,1,0
889,889,0,0,0,0,0
890,890,0,0,0,1,1
891,891,0,0,0,0,0
892,892,0,0,0,1,1
893,893,0,0,0,1,0
894,894,0,0,0,0,0
895,895,0,0,0,1,1
896,896,0,0,0,0,0
897,897,0,0,0,1,1
898,898,0,0,0,0,0
899,899,0,0,0,1,0
900,900,0,0,0,1,1
901,901,0,0,0,0,0
902,902,0,0,0,1,1
903,903,0,0,0,0,0
904,904,0,0,0,1,0
905,905,0,0,0,1,0
906,906,0,0,0,0,0
907,907,0,0,0,1,1
908,908,0,0,0,0,0
909,909,0,0,0,1,0
910,910,0,0,0,1,0
911,911,0,0,0,1,0
912,912,0,0,0,1,1
913,913,0,0,0,0,0
914,914,0,0,0,1,1
915,915,0,0,0,0,0
916,916,0,0,0,1,1
917,917,0,0,0,0,1
918,918,0,0,0,0,0
919,919,0,0,0,1,1
920,920,0,0,1,0,0
921,921,0,0,0,1,0
922,922,0,0,0,0,1
923,923,0,0,0,0,0
924,924,0,0,0,1,1
925,925,0,0,0,0,0
926,926,0,0,0,1,1
927,927,0,0,0,0,1
928,928,0,0,0,0,0
929,929,0,0,0,1,1
930,930,0,0,0,0,0
931,931,0,0,0,1,1
932,932,0,0,0,0,0
933,933,0,0,0,1,0
934,934,0,0,0,1,0
935,935,0,0,0,0,0
936,936,0,0,0,1,1
937,937,0,0,0,0,0
938,938,0,0,0,1,0
939,939,0,0,0,0,0
940,940,0,0,0,0,0
941,941,0,0,0,1,0
942,942,0,0,0,0,0
943,943,0,0,0,1,1
944,944,0,0,0,0,0
945,945,0,0,0,1,0
946,946,0,0,0,1,0
947,947,0,0,0,0,0
948,948,0,0,0,1,0
949,949,0,0,0,0,0
950,950,0,0,0,1,0
951,951,0,0,0,1,0
952,952,0,0,0,1,0
953,953,0,0,0,1,1
